,id,classify_3,brand,model,buyer,number,price,seller,date,time,total_price,year
90,3917175,机架式服务器中、低档,惠普,DL360 Gen9,中国银行业监督管理委员会常州监管分局,1,25030.0,上海汇策电子系统集成有限公司,2016-06-14,12:10:30,25030.0,2016
91,3917174,机架式服务器中、低档,惠普,DL380 Gen9,交通运输部东海救助局,2,28203.0,上海汇策电子系统集成有限公司,2016-07-12,17:05:48,56406.0,2016
92,3921371,数据中心接入交换机 低档,戴尔,N4064,中国科学院上海应用物理研究所,1,47875.0,上海山屹实业有限公司,2016-04-12,11:33:04,47875.0,2016
93,3916643,数据中心接入交换机 低档,华三（H3C）,H3C S5560-54QS-EI主机+双风扇+双电源,交通运输部东海救助局,3,38580.0,上海博胜佳欣科技有限公司,2016-07-12,15:22:13,115740.0,2016
94,3916642,数据中心接入交换机 中档及以上,华三（H3C）,H3C S6300-52QF主机+双风扇+双电源,同济大学,5,75120.0,上海汉澄电子设备有限公司,2016-05-25,13:59:01,375600.0,2016
95,3921330,塔式服务器高档,戴尔,Dell PowerEdge T630,中国科学院上海生命科学研究院,1,38741.0,上海承蓝科技股份有限公司,2016-07-22,10:40:52,38741.0,2016
96,3921334,塔式服务器低档,戴尔,Dell PowerEdge T330,上海财经大学,1,12392.0,上海港讯电子科技有限公司,2016-06-14,10:56:33,12392.0,2016
97,3921334,塔式服务器低档,戴尔,Dell PowerEdge T330,东华大学（原中国纺织大学）,1,12392.0,上海惠衡科技发展有限公司,2016-05-11,12:36:03,12392.0,2016
98,3918576,塔式服务器低档,Lenovo systemX,System x3100M5,中国极地研究中心,1,12762.0,上海汇策电子系统集成有限公司,2016-05-23,15:58:57,12762.0,2016
99,3917892,塔式服务器低档,Lenovo（联想）,ThinkServer TS150,交通运输部长江口航道管理局,3,12390.0,上海群立电脑科技有限公司,2016-03-08,14:14:21,37170.0,2016
100,3921331,塔式服务器中档,戴尔,Dell PowerEdge T630,国家海洋局东海预报中心,1,16296.0,上海承蓝科技股份有限公司,2016-07-14,11:04:42,16296.0,2016
101,3917169,塔式服务器中档,惠普,ML150 Gen9,中国科学院上海天文台,1,19737.0,上海汇策电子系统集成有限公司,2016-07-19,12:04:29,19737.0,2016
102,3921367,园区汇聚交换机 低档,戴尔,N3048,中国科学院上海应用物理研究所,1,12783.0,上海山屹实业有限公司,2016-07-18,14:15:26,12783.0,2016
103,3921367,园区汇聚交换机 低档,戴尔,N3048,中国科学院上海应用物理研究所,4,12783.0,上海山屹实业有限公司,2016-05-26,14:12:51,51132.0,2016
104,3919059,园区汇聚交换机 中档及以上,华为,S5720-56C-EI-AC,同济大学,1,35658.0,上海龙田数码科技有限公司,2016-03-01,15:52:06,35658.0,2016
105,3919060,园区汇聚交换机 中档及以上,华为,S5720-36C-EI-28S,中华人民共和国上海机场出入境边防检查站,1,30436.0,上海恩韦司信息系统有限公司,2016-06-01,11:48:54,30436.0,2016
106,3921361,园区接入交换机（百兆） 低档,戴尔,PowerConnect 2848,同济大学,6,3743.0,上海同济科教技术物资有限公司,2016-05-25,07:34:40,22458.0,2016
107,3921361,园区接入交换机（百兆） 低档,戴尔,PowerConnect 2848,同济大学,3,3743.0,上海港讯电子科技有限公司,2016-05-23,08:58:14,11229.0,2016
108,3919055,园区接入交换机（百兆） 低档,华为,S2700-52P-EI-AC,上海海关学院,30,9047.0,萃群实业（上海）有限公司,2016-05-13,13:34:42,271410.0,2016
109,3921363,园区接入交换机（千兆）,戴尔,N1548,中国科学院上海应用物理研究所,1,6350.0,上海山屹实业有限公司,2016-03-11,10:53:11,6350.0,2016
110,3919058,园区接入交换机（千兆）,华为,S5700-52P-LI-AC,中国科学院上海光学精密机械研究所,4,14865.0,上海山屹实业有限公司,2016-07-11,11:33:33,59460.0,2016
111,3921343,刀片服务器低档,戴尔,Dell PowerEdge M630,上海国家会计学院,2,12845.0,上海中隽电子科技发展有限公司,2016-06-16,13:47:20,25690.0,2016
112,3919357,刀片服务器低档,曙光,CX50-G20 ,中国气象局上海台风研究所,6,17160.0,上海盛举信息科技有限公司,2016-06-27,10:59:47,102960.0,2016
113,3921341,刀片服务器中档,戴尔,Dell PowerEdge M630,上海财经大学,8,23313.0,上海中隽电子科技发展有限公司,2016-06-24,13:57:32,186504.0,2016
114,3921341,刀片服务器中档,戴尔,Dell PowerEdge M630,同济大学,5,23313.0,上海仪电鑫森科技发展有限公司,2016-05-18,17:04:06,116565.0,2016
